Unnamed: 0,UPRN,Address,raw_Construction_type,Processed_Construction_Type,Other_Attributes,BRE_mapping_matches,BRE_Class,Latitude,Longitude
3843,1019030,36 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3844,1019052,38 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3845,1019063,40 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3846,1019085,42 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3847,1019096,44 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3848,1019109,46 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3849,1019110,48 HERTFORD ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3805584,-0.7157139
3850,1019870,86 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3851,1019881,88 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3852,1019892,90 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3853,1019905,92 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3854,1019916,94 NORTHUMBERLAND ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3815733,-0.7146834
3855,1020311,1 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3856,1020322,11 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3857,1020333,3 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3858,1020344,5 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3859,1020355,9 SURREY ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3800175,-0.7152806
3860,1020537,44 SUSSEX ROAD Kettering,cornish,cornish,,Cornish Unit Type I,PCC,52.3797845,-0.7162565
